Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/8/30,1,表,0,0,0,-,-,-,山田恭吾,金沢大学,右,久保田大成,北陸大学,右,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,0,1,0,-,-,-,山田恭吾,金沢大学,右,久保田大成,北陸大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,1,0,-,-,-,山田恭吾,金沢大学,右,久保田大成,北陸大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,2,1,0,-,-,-,山田恭吾,金沢大学,右,久保田大成,北陸大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,3,1,0,-,-,-,山田恭吾,金沢大学,右,久保田大成,北陸大学,右,ストレート,,8,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,表,3,2,0,-,-,-,山田恭吾,金沢大学,右,久保田大成,北陸大学,右,ストレート,,4,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
2025/8/30,1,表,0,0,1,-,-,-,山田恭吾,金沢大学,右,加藤遥人,北陸大学,右,ストレート,,11,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,表,0,1,1,-,-,-,山田恭吾,金沢大学,右,加藤遥人,北陸大学,右,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,1,1,-,-,-,山田恭吾,金沢大学,右,加藤遥人,北陸大学,右,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,2,1,1,-,-,-,山田恭吾,金沢大学,右,加藤遥人,北陸大学,右,ストレート,,1,外角,インプレー,1,1,1,1,1,,-,単打,ライナー,左翼手,0,0,0,0,
2025/8/30,1,表,0,0,1,○,-,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,0,1,○,-,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,ストレート,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,1,1,○,-,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,ストレート,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,2,1,1,○,-,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,2,1,1,○,-,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,スライダー,,13,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,表,2,2,1,○,-,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,ストレート,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,3,2,1,-,○,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,ストレート,,2,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,表,3,2,1,-,○,-,山田恭吾,金沢大学,右,黒田佑月,北陸大学,左,ストレート,,2,,インプレー,1,1,1,1,1,,-,単打,ゴロ,一塁手,0,0,0,0,
2025/8/30,1,表,0,0,1,○,-,○,山田恭吾,金沢大学,右,中村康太,北陸大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,0,1,○,-,○,山田恭吾,金沢大学,右,中村康太,北陸大学,右,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,1,1,○,-,○,山田恭吾,金沢大学,右,中村康太,北陸大学,右,ストレート,,6,外角,インプレー,1,1,1,1,1,,-,単打,ゴロ,右翼手,0,1,1,0,
2025/8/30,1,表,0,0,1,○,○,-,山田恭吾,金沢大学,右,亀澤祐貴,北陸大学,右,ストレート,,11,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,表,0,1,1,○,○,-,山田恭吾,金沢大学,右,亀澤祐貴,北陸大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,0,1,1,○,○,-,山田恭吾,金沢大学,右,亀澤祐貴,北陸大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,1,1,○,○,-,山田恭吾,金沢大学,右,亀澤祐貴,北陸大学,右,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,2,1,○,○,-,山田恭吾,金沢大学,右,亀澤祐貴,北陸大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,2,2,1,○,○,-,山田恭吾,金沢大学,右,亀澤祐貴,北陸大学,右,ストレート,,1,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,
2025/8/30,1,表,0,0,2,○,○,-,山田恭吾,金沢大学,右,藤田海輝,北陸大学,右,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,0,1,2,○,○,-,山田恭吾,金沢大学,右,藤田海輝,北陸大学,右,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,表,1,1,2,○,○,-,山田恭吾,金沢大学,右,藤田海輝,北陸大学,右,ストレート,,11,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,表,1,2,2,○,○,-,山田恭吾,金沢大学,右,藤田海輝,北陸大学,右,スライダー,,9,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,1,
2025/8/30,1,裏,0,0,0,-,-,-,與 賢史朗,北陸大学,右,山本優人,金沢大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,1,0,0,-,-,-,與 賢史朗,北陸大学,右,山本優人,金沢大学,右,チェンジアップ,,4,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
2025/8/30,1,裏,0,0,1,-,-,-,與 賢史朗,北陸大学,右,淀川理久,金沢大学,左,チェンジアップ,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,0,1,1,-,-,-,與 賢史朗,北陸大学,右,淀川理久,金沢大学,左,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,0,2,1,-,-,-,與 賢史朗,北陸大学,右,淀川理久,金沢大学,左,チェンジアップ,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,1,2,1,-,-,-,與 賢史朗,北陸大学,右,淀川理久,金沢大学,左,ストレート,,1,,インプレー,1,1,1,1,1,,-,単打,ゴロ,二塁手,1,0,0,0,
2025/8/30,1,裏,0,0,1,○,-,-,與 賢史朗,北陸大学,右,竹田龍汰,金沢大学,右,ストレート,,1,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,一塁手,1,0,0,0,
2025/8/30,1,裏,0,0,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,0,0,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,1,0,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,カーブ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,2,0,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,2,0,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,3,0,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,ストレート,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/8/30,1,裏,3,1,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,ストレート,,2,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/8/30,1,裏,3,2,2,○,-,-,與 賢史朗,北陸大学,右,加納誠琉,金沢大学,右,スライダー,,9,外角,見逃し,1,1,1,0,0,見逃し三振,-,,,,1,0,0,0,
