Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/9/21,1,表,0,0,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,ストレート,,8,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,表,0,1,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,スライダー,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,表,1,1,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,ストレート,,2,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,表,1,2,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,スライダー,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,表,1,2,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,スライダー,,3,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,表,1,2,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,表,2,2,0,-,-,-,蔵口 敦,金沢星稜大学,右,伊藤航太,福井工業大学,左,ストレート,,2,外角,インプレー,1,1,1,1,1,,-,単打,ゴロ,中堅手,0,0,0,0,M3
2025/9/21,1,表,0,0,0,○,-,-,蔵口 敦,金沢星稜大学,右,久保誓真,福井工業大学,右,ストレート,,1,,インプレー,1,1,0,0,1,,-,犠打,ゴロ,投手,1,0,0,0,
2025/9/21,1,表,0,0,1,-,○,-,蔵口 敦,金沢星稜大学,右,池邉 由伸,福井工業大学,左,カーブ,,6,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,表,0,1,1,-,○,-,蔵口 敦,金沢星稜大学,右,池邉 由伸,福井工業大学,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,表,1,1,1,-,○,-,蔵口 敦,金沢星稜大学,右,池邉 由伸,福井工業大学,左,スライダー,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,表,1,2,1,-,○,-,蔵口 敦,金沢星稜大学,右,池邉 由伸,福井工業大学,左,カーブ,,2,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,T5
2025/9/21,1,表,0,0,2,-,-,○,蔵口 敦,金沢星稜大学,右,髙松紳志,福井工業大学,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,表,1,0,2,-,-,○,蔵口 敦,金沢星稜大学,右,髙松紳志,福井工業大学,右,ストレート,128,6,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,Q7
2025/9/21,1,裏,0,0,0,-,-,-,向嶋大輔,福井工業大学,右,泉 航平,金沢星稜大学,左,ストレート,,1,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,K6
2025/9/21,1,裏,0,0,1,-,-,-,向嶋大輔,福井工業大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,1,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,裏,0,1,1,-,-,-,向嶋大輔,福井工業大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,9,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,裏,0,2,1,-,-,-,向嶋大輔,福井工業大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,2,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,裏,0,2,1,-,-,-,向嶋大輔,福井工業大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,1,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,C2
2025/9/21,1,裏,0,0,2,-,-,-,向嶋大輔,福井工業大学,右,中野心惇,金沢星稜大学,右,ストレート,,2,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,裏,0,1,2,-,-,-,向嶋大輔,福井工業大学,右,中野心惇,金沢星稜大学,右,ストレート,,5,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,1,裏,0,2,2,-,-,-,向嶋大輔,福井工業大学,右,中野心惇,金沢星稜大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,1,裏,1,2,2,-,-,-,向嶋大輔,福井工業大学,右,中野心惇,金沢星稜大学,右,カーブ,,9,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,C1
2025/9/21,2,表,0,0,0,-,-,-,蔵口 敦,金沢星稜大学,右,細川叶人,福井工業大学,右,スライダー,,6,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,M2
2025/9/21,2,表,0,0,1,-,-,-,蔵口 敦,金沢星稜大学,右,野口恭平,福井工業大学,左,カーブ,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,2,表,1,0,1,-,-,-,蔵口 敦,金沢星稜大学,右,野口恭平,福井工業大学,左,カーブ,,9,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,2,表,1,1,1,-,-,-,蔵口 敦,金沢星稜大学,右,野口恭平,福井工業大学,左,カーブ,,8,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,M2
2025/9/21,2,表,0,0,2,-,-,-,蔵口 敦,金沢星稜大学,右,山田久敬,福井工業大学,左,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,2,表,0,1,2,-,-,-,蔵口 敦,金沢星稜大学,右,山田久敬,福井工業大学,左,カーブ,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,2,表,1,1,2,-,-,-,蔵口 敦,金沢星稜大学,右,山田久敬,福井工業大学,左,スライダー,,6,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,Q5
2025/9/21,2,裏,0,0,0,-,-,-,向嶋大輔,福井工業大学,右,津澤泰成,金沢星稜大学,左,ストレート,,6,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,2,裏,0,1,0,-,-,-,向嶋大輔,福井工業大学,右,津澤泰成,金沢星稜大学,左,ストレート,,2,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,2,裏,0,2,0,-,-,-,向嶋大輔,福井工業大学,右,津澤泰成,金沢星稜大学,左,ストレート,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/9/21,2,裏,1,2,0,-,-,-,向嶋大輔,福井工業大学,右,津澤泰成,金沢星稜大学,左,ストレート,,5,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,2,裏,1,2,0,-,-,-,向嶋大輔,福井工業大学,右,津澤泰成,金沢星稜大学,左,ストレート,,6,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/9/21,2,裏,1,2,0,-,-,-,向嶋大輔,福井工業大学,右,津澤泰成,金沢星稜大学,左,ストレート,,13,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
