Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,1,表,0,0,0,-,-,-,石井海瑛,富山国際大学,右,山本優人,金沢大学,右,スライダー,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,1,0,-,-,-,石井海瑛,富山国際大学,右,山本優人,金沢大学,右,ストレート,,6,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,2,0,-,-,-,石井海瑛,富山国際大学,右,山本優人,金沢大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,1,2,0,-,-,-,石井海瑛,富山国際大学,右,山本優人,金沢大学,右,カーブ,,14,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2025/10/4,1,表,0,0,1,-,-,-,石井海瑛,富山国際大学,右,山本悠真,金沢大学,右,スライダー,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,1,1,-,-,-,石井海瑛,富山国際大学,右,山本悠真,金沢大学,右,ストレート,,3,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,2,1,-,-,-,石井海瑛,富山国際大学,右,山本悠真,金沢大学,右,カーブ,,3,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,一塁手,1,0,0,0,
2025/10/4,1,表,0,0,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,ストレート,,5,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,1,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,1,1,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,スライダー,,9,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,表,1,2,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,2,2,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,スライダー,,9,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,表,2,2,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,3,2,2,-,-,-,石井海瑛,富山国際大学,右,竹田龍汰,金沢大学,右,ストレート,,12,,インプレー,1,1,1,1,1,,-,単打,フライ,一塁手,0,0,0,0,
2025/10/4,1,表,0,0,2,○,-,-,石井海瑛,富山国際大学,右,加納誠琉,金沢大学,右,ストレート,,3,,インプレー,1,1,1,1,1,,-,単打,ゴロ,遊撃手,0,0,0,0,
2025/10/4,1,表,0,0,2,○,○,-,石井海瑛,富山国際大学,右,越野虎次郎,金沢大学,右,ストレート,,6,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,1,2,○,○,-,石井海瑛,富山国際大学,右,越野虎次郎,金沢大学,右,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,1,1,2,○,○,-,石井海瑛,富山国際大学,右,越野虎次郎,金沢大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,2,1,2,○,○,-,石井海瑛,富山国際大学,右,越野虎次郎,金沢大学,右,,,,,牽制,0,0,0,0,0,,-,,,,1,0,0,0,
2025/10/4,1,裏,0,0,0,-,-,-,山田恭吾,金沢大学,右,須澤愛也,富山国際大学,右,スライダー,,9,,インプレー,1,1,1,1,1,,-,単打,フライ,右翼手,0,0,0,0,
2025/10/4,1,裏,0,0,0,○,-,-,山田恭吾,金沢大学,右,伊藤悠成,富山国際大学,左,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,0,1,0,○,-,-,山田恭吾,金沢大学,右,伊藤悠成,富山国際大学,左,ストレート,,3,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,裏,0,2,0,○,-,-,山田恭吾,金沢大学,右,伊藤悠成,富山国際大学,左,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,0,2,0,○,-,-,山田恭吾,金沢大学,右,伊藤悠成,富山国際大学,左,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,1,2,0,○,-,-,山田恭吾,金沢大学,右,伊藤悠成,富山国際大学,左,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,2,2,0,○,-,-,山田恭吾,金沢大学,右,伊藤悠成,富山国際大学,左,ストレート,,12,,インプレー,1,1,1,1,1,,-,単打,フライ,中堅手,0,0,0,0,
2025/10/4,1,裏,0,0,0,○,○,-,山田恭吾,金沢大学,右,鈴野愁馬,富山国際大学,右,スライダー,,6,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,裏,0,1,0,○,○,-,山田恭吾,金沢大学,右,鈴野愁馬,富山国際大学,右,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,1,1,0,○,○,-,山田恭吾,金沢大学,右,鈴野愁馬,富山国際大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
