イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
1,表,0,0,0,-,-,-,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,0,1,0,-,-,-,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,ストレート,,1,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,D2
1,表,0,0,1,-,-,-,玉村凌大,金沢星稜大学,右,川合錬磨,金沢学院大学,右,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,0,1,1,-,-,-,玉村凌大,金沢星稜大学,右,川合錬磨,金沢学院大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,1,1,-,-,-,玉村凌大,金沢星稜大学,右,川合錬磨,金沢学院大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,2,1,-,-,-,玉村凌大,金沢星稜大学,右,川合錬磨,金沢学院大学,右,チェンジアップ,,13,真ん中,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
1,表,0,0,2,-,-,-,玉村凌大,金沢星稜大学,右,新田恭也,金沢学院大学,左,スライダー,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,0,2,-,-,-,玉村凌大,金沢星稜大学,右,新田恭也,金沢学院大学,左,ストレート,,1,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,G6
1,裏,0,0,0,-,-,-,水谷光希,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,0,-,-,-,水谷光希,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,0,0,-,-,-,水谷光希,金沢学院大学,右,中野心惇,金沢星稜大学,右,スライダー,,7,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,1,0,-,-,-,水谷光希,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,3,1,0,-,-,-,水谷光希,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,3,2,0,-,-,-,水谷光希,金沢学院大学,右,中野心惇,金沢星稜大学,右,ストレート,,14,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
1,裏,0,0,0,○,-,-,水谷光希,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,9,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
