イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
1,表,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,スライダー,,13,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
1,表,0,1,0,-,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,ストレート,,12,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,1,0,-,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,ストレート,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,2,0,-,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,スライダー,,8,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,
1,表,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,0,1,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,4,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,0,2,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,4,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
1,表,0,0,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,5,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
1,裏,0,0,0,-,-,-,與 賢史朗,北陸大学,右,伊藤 航太,福井工業大学,左,カーブ,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,0,-,-,-,與 賢史朗,北陸大学,右,伊藤 航太,福井工業大学,左,カーブ,,2,真ん中,インプレー,1,1,1,1,1,,-,単打,フライ,右翼手,0,0,0,0,
1,裏,0,0,0,○,-,-,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,6,外角,インプレー,1,1,0,0,1,,-,犠打,ゴロ,投手,1,0,0,0,
1,裏,0,0,1,-,○,-,與 賢史朗,北陸大学,右,池邉由伸,福井工業大学,左,スライダー,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,1,-,○,-,與 賢史朗,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,5,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
1,裏,0,0,2,-,-,○,與 賢史朗,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,2,-,-,○,與 賢史朗,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,8,内角,インプレー,1,1,1,1,1,,-,二塁打,フライ,左翼手,0,1,1,1,
1,裏,0,0,2,-,○,-,與 賢史朗,北陸大学,右,細川叶人,福井工業大学,右,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,2,-,○,-,與 賢史朗,北陸大学,右,細川叶人,福井工業大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,0,2,-,○,-,與 賢史朗,北陸大学,右,細川叶人,福井工業大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,3,0,2,-,○,-,與 賢史朗,北陸大学,右,細川叶人,福井工業大学,右,カーブ,,13,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
1,裏,0,0,2,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,4,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,2,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,チェンジアップ,,8,真ん中,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,0,2,2,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,2,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,2,2,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,6,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
2,表,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,ストレート,,3,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,2,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,チェンジアップ,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,2,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,ストレート,,2,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
