イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
1,表,0,0,0,-,-,-,野﨑勇一郎,金沢星稜大学,右,山本優人,金沢大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,0,0,-,-,-,野﨑勇一郎,金沢星稜大学,右,山本優人,金沢大学,右,チェンジアップ,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,1,0,-,-,-,野﨑勇一郎,金沢星稜大学,右,山本優人,金沢大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,2,0,-,-,-,野﨑勇一郎,金沢星稜大学,右,山本優人,金沢大学,右,スライダー,,9,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,一塁手,1,0,0,0,
1,表,0,0,1,-,-,-,野﨑勇一郎,金沢星稜大学,右,山本悠真,金沢大学,右,スライダー,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,表,0,1,1,-,-,-,野﨑勇一郎,金沢星稜大学,右,山本悠真,金沢大学,右,ストレート,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
1,表,0,0,2,-,-,-,野﨑勇一郎,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,0,2,-,-,-,野﨑勇一郎,金沢星稜大学,右,竹田龍汰,金沢大学,右,スライダー,,2,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,表,1,1,2,-,-,-,野﨑勇一郎,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,2,2,-,-,-,野﨑勇一郎,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,2,2,2,-,-,-,野﨑勇一郎,金沢星稜大学,右,竹田龍汰,金沢大学,右,カーブ,,8,真ん中,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
1,裏,0,0,0,-,-,-,山田恭吾,金沢大学,右,中野心惇,金沢星稜大学,右,スライダー,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,0,-,-,-,山田恭吾,金沢大学,右,中野心惇,金沢星稜大学,右,ストレート,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,1,0,-,-,-,山田恭吾,金沢大学,右,中野心惇,金沢星稜大学,右,スライダー,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,0,-,-,-,山田恭吾,金沢大学,右,中野心惇,金沢星稜大学,右,スライダー,,2,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,二塁手,1,0,0,0,
1,裏,0,0,1,-,-,-,山田恭吾,金沢大学,右,泉 航平,金沢星稜大学,左,ストレート,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
