イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
1,表,0,2,0,-,-,-,水谷光希,金沢学院大学,右,伊藤 航太,福井工業大学,左,,,,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
1,表,0,2,1,-,-,-,水谷光希,金沢学院大学,右,久保誓真,福井工業大学,右,,,,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
1,表,0,2,2,-,-,-,水谷光希,金沢学院大学,右,池邉由伸,福井工業大学,左,,,,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
1,裏,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,0,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,ストレート,,7,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
1,裏,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,橋本 駿,金沢学院大学,左,カーブ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,1,-,-,-,藤川泰斗,福井工業大学,左,橋本 駿,金沢学院大学,左,カーブ,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,2,1,-,-,-,藤川泰斗,福井工業大学,左,橋本 駿,金沢学院大学,左,ストレート,,12,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,3,2,1,-,-,-,藤川泰斗,福井工業大学,左,橋本 駿,金沢学院大学,左,スライダー,,12,内角,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
1,裏,0,0,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,,,,内角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,2,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,,,,内角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,スライダー,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,2,1,○,-,-,藤川泰斗,福井工業大学,左,新田恭也,金沢学院大学,左,スライダー,,4,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
1,裏,0,0,2,○,-,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,ストレート,,9,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,0,1,2,○,-,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,2,2,○,-,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,2,○,-,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,2,2,-,○,-,藤川泰斗,福井工業大学,左,角尾頼尊,金沢学院大学,右,チェンジアップ,,9,外角,インプレー,1,1,1,1,1,,-,単打,フライ,右翼手,0,0,0,0,
1,裏,0,0,2,○,-,-,藤川泰斗,福井工業大学,左,南 早羽己,金沢学院大学,左,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,0,1,2,○,-,-,藤川泰斗,福井工業大学,左,南 早羽己,金沢学院大学,左,スライダー,,8,,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,1,
2,表,0,0,0,-,-,-,水谷光希,金沢学院大学,右,高松 紳志,福井工業大学,左,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,1,0,-,-,-,水谷光希,金沢学院大学,右,高松 紳志,福井工業大学,左,カットボール,,8,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
2,表,0,0,1,-,-,-,水谷光希,金沢学院大学,右,野口恭平,福井工業大学,左,ストレート,,12,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,三塁手,1,0,0,0,
2,表,0,2,2,-,-,-,水谷光希,金沢学院大学,右,大江陸斗,福井工業大学,右,,,,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
