イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
1,表,0,0,0,-,-,-,上野光大郎,金沢大学,右,津澤泰成,金沢星稜大学,左,ストレート,,5,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,0,1,0,-,-,-,上野光大郎,金沢大学,右,津澤泰成,金沢星稜大学,左,カーブ,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,1,0,-,-,-,上野光大郎,金沢大学,右,津澤泰成,金沢星稜大学,左,ストレート,,4,,インプレー,1,1,1,0,1,,-,アウト,ライナー,遊撃手,1,0,0,0,
1,表,0,0,1,-,-,-,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,7,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,表,0,1,1,-,-,-,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,1,1,-,-,-,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,113,1,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,1,2,1,-,-,-,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,スライダー,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,2,2,1,-,-,-,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,8,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
1,表,0,0,2,-,-,-,上野光大郎,金沢大学,右,泉 航平,金沢星稜大学,左,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,表,0,1,2,-,-,-,上野光大郎,金沢大学,右,泉 航平,金沢星稜大学,左,ストレート,,1,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,表,0,2,2,-,-,-,上野光大郎,金沢大学,右,泉 航平,金沢星稜大学,左,スライダー,105,14,内角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
1,裏,0,0,0,-,-,-,玉村凌大,金沢星稜大学,右,山本優人,金沢大学,右,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,0,0,-,-,-,玉村凌大,金沢星稜大学,右,山本優人,金沢大学,右,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,2,0,0,-,-,-,玉村凌大,金沢星稜大学,右,山本優人,金沢大学,右,ストレート,,9,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,捕手,1,0,0,0,
1,裏,0,0,1,-,-,-,玉村凌大,金沢星稜大学,右,山本悠真,金沢大学,右,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,1,-,-,-,玉村凌大,金沢星稜大学,右,山本悠真,金沢大学,右,ストレート,,8,,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,
1,裏,0,0,2,-,-,-,玉村凌大,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,1,2,-,-,-,玉村凌大,金沢星稜大学,右,竹田龍汰,金沢大学,右,スライダー,,4,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,0,2,2,-,-,-,玉村凌大,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
1,裏,1,2,2,-,-,-,玉村凌大,金沢星稜大学,右,竹田龍汰,金沢大学,右,ストレート,,3,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
1,裏,1,2,2,-,-,-,玉村凌大,金沢星稜大学,右,竹田龍汰,金沢大学,右,スライダー,,4,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,遊撃手,1,0,0,0,
2,表,0,0,0,-,-,-,上野光大郎,金沢大学,右,山本翔士,金沢星稜大学,左,ストレート,,7,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,一塁手,1,0,0,0,
2,表,0,0,1,-,-,-,上野光大郎,金沢大学,右,架谷 岳,金沢星稜大学,右,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,1,1,-,-,-,上野光大郎,金沢大学,右,架谷 岳,金沢星稜大学,右,カーブ,,2,外角,インプレー,1,1,1,1,1,,-,単打,ライナー,左翼手,0,0,0,0,
2,表,0,0,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,スライダー,,4,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,スライダー,,14,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,2,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,2,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,2,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,1,○,-,-,上野光大郎,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,3,外角,インプレー,1,1,1,1,1,,-,単打,ライナー,右翼手,0,0,0,0,
2,表,0,0,1,○,-,○,上野光大郎,金沢大学,右,東元龍成,金沢星稜大学,右,ストレート,,3,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,1,○,-,○,上野光大郎,金沢大学,右,東元龍成,金沢星稜大学,右,カーブ,,8,外角,インプレー,1,1,1,1,1,,-,単打,ライナー,左翼手,0,1,1,0,
2,表,0,0,1,○,○,-,上野光大郎,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,2,内角,インプレー,1,1,1,1,1,,-,単打,ライナー,中堅手,0,2,2,0,
2,表,0,0,1,-,-,○,上野光大郎,金沢大学,右,西川晃成,金沢星稜大学,右,ストレート,,8,,インプレー,1,1,1,1,1,,-,単打,ライナー,中堅手,0,1,1,0,
2,表,0,0,1,○,-,-,上野光大郎,金沢大学,右,津澤泰成,金沢星稜大学,左,カーブ,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,1,0,1,○,-,-,上野光大郎,金沢大学,右,津澤泰成,金沢星稜大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,2,0,1,-,○,-,上野光大郎,金沢大学,右,津澤泰成,金沢星稜大学,左,,,,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
2,表,0,0,2,-,-,○,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,,,,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,1,2,-,-,○,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,チェンジアップ,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,2,2,-,-,○,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,11,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,0,2,2,-,-,○,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ツーシーム,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,1,2,2,-,-,○,上野光大郎,金沢大学,右,前谷内琉斗,金沢星稜大学,左,ストレート,,3,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,二塁手,1,0,0,4,
2,裏,0,0,0,-,-,-,玉村凌大,金沢星稜大学,右,越野虎次郎,金沢大学,右,カーブ,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,0,0,-,-,-,玉村凌大,金沢星稜大学,右,越野虎次郎,金沢大学,右,ストレート,,9,,インプレー,1,1,1,1,1,,-,単打,ゴロ,右翼手,0,0,0,0,
2,裏,0,0,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,スライダー,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,カーブ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,1,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,1,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,1,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,2,2,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,ストレート,,12,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,2,2,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,3,2,0,○,-,-,玉村凌大,金沢星稜大学,右,平澤秀太,金沢大学,右,カーブ,,2,外角,見逃し,1,1,1,0,0,見逃し三振,-,,,,1,0,0,0,
2,裏,0,0,1,-,○,-,玉村凌大,金沢星稜大学,右,上野光大郎,金沢大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,0,1,-,○,-,玉村凌大,金沢星稜大学,右,上野光大郎,金沢大学,左,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,1,1,-,○,-,玉村凌大,金沢星稜大学,右,上野光大郎,金沢大学,左,カーブ,,3,外角,インプレー,1,1,1,1,1,,-,二塁打,フライ,左翼手,1,1,1,0,
2,裏,0,0,2,-,○,-,玉村凌大,金沢星稜大学,右,加納誠琉,金沢大学,右,スライダー,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,2,-,○,-,玉村凌大,金沢星稜大学,右,加納誠琉,金沢大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,2,-,○,-,玉村凌大,金沢星稜大学,右,加納誠琉,金沢大学,右,カーブ,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,1,2,-,○,-,玉村凌大,金沢星稜大学,右,加納誠琉,金沢大学,右,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,3,1,2,-,○,-,玉村凌大,金沢星稜大学,右,加納誠琉,金沢大学,右,,,,,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2,裏,0,0,2,○,○,-,玉村凌大,金沢星稜大学,右,桜 圭吾,金沢大学,右,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,2,○,○,-,玉村凌大,金沢星稜大学,右,桜 圭吾,金沢大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,2,○,○,-,玉村凌大,金沢星稜大学,右,桜 圭吾,金沢大学,右,ストレート,,4,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,0,2,2,○,○,-,玉村凌大,金沢星稜大学,右,桜 圭吾,金沢大学,右,ストレート,,8,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,1,
3,表,0,0,0,-,-,-,濵名壱晴,金沢大学,右,泉 航平,金沢星稜大学,左,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,0,0,-,-,-,濵名壱晴,金沢大学,右,泉 航平,金沢星稜大学,左,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,表,1,1,0,-,-,-,濵名壱晴,金沢大学,右,泉 航平,金沢星稜大学,左,ストレート,,7,,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,
3,表,0,0,1,-,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,フォーク,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,1,-,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,フォーク,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
