Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2026/3/16,1,表,0,0,0,-,-,-,不明,不明,右,相上征士郎,金沢大学,右,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,1,0,0,-,-,-,不明,不明,右,相上征士郎,金沢大学,右,スライダー,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,1,1,0,-,-,-,不明,不明,右,相上征士郎,金沢大学,右,スライダー,,14,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2026/3/16,1,表,1,2,0,-,-,-,不明,不明,右,相上征士郎,金沢大学,右,チェンジアップ,,14,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2026/3/16,1,表,0,0,1,-,-,-,不明,不明,右,石浦吉人,金沢大学,左,ストレート,,7,,インプレー,1,1,1,1,1,,-,二塁打,フライ,左翼手,0,0,0,0,
2026/3/16,1,表,0,0,1,-,○,-,不明,不明,右,山本優人,金沢大学,右,ストレート,,3,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,0,1,1,-,○,-,不明,不明,右,山本優人,金沢大学,右,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,1,1,1,-,-,○,不明,不明,右,山本優人,金沢大学,右,ストレート,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,2,1,1,-,-,○,不明,不明,右,山本優人,金沢大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,1,0,0,
2026/3/16,1,表,3,1,1,-,-,-,不明,不明,右,山本優人,金沢大学,右,,,,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,3,1,1,-,-,-,不明,不明,右,山本優人,金沢大学,右,スライダー,,5,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,3,1,1,-,-,-,不明,不明,右,山本優人,金沢大学,右,,,,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,3,1,1,-,-,-,不明,不明,右,山本優人,金沢大学,右,スライダー,,5,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,3,2,1,-,-,-,不明,不明,右,山本優人,金沢大学,右,スライダー,,3,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2026/3/16,1,表,0,0,2,-,-,-,不明,不明,右,鍛冶陽斗,金沢大学,右,ストレート,,2,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,0,1,2,-,-,-,不明,不明,右,鍛冶陽斗,金沢大学,右,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,0,1,2,-,-,-,不明,不明,右,鍛冶陽斗,金沢大学,右,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/16,1,表,1,1,2,-,-,-,不明,不明,右,鍛冶陽斗,金沢大学,右,スライダー,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2026/3/16,1,表,1,2,2,-,-,-,不明,不明,右,鍛冶陽斗,金沢大学,右,スライダー,,14,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2026/3/16,1,表,1,2,2,-,-,-,不明,不明,右,鍛冶陽斗,金沢大学,右,スライダー,,14,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
