Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/3/17,1,表,0,0,0,-,-,-,高平行栄,右,不明,左,ストレート,,14,内角,ボール,,,,,0,0,
2026/3/17,1,表,1,0,0,-,-,-,高平行栄,右,不明,左,ストレート,,7,,見逃し,,,,,0,0,
2026/3/17,1,表,1,1,0,-,-,-,高平行栄,右,不明,左,カーブ,,11,,ボール,,,,,0,0,
2026/3/17,1,表,2,1,0,-,-,-,高平行栄,右,不明,左,ストレート,,8,内角,インプレー,,単打,ゴロ,中堅手,0,0,
2026/3/17,1,表,0,0,0,○,-,-,高平行栄,右,不明,右,ストレート,,3,外角,インプレー,,犠打,ゴロ,投手,1,0,
2026/3/17,1,表,0,0,1,-,○,-,高平行栄,右,不明,右,ストレート,,6,外角,ファウル,,,,,0,0,
2026/3/17,1,表,0,1,1,-,○,-,高平行栄,右,不明,右,フォーク,,13,外角,ボール,,,,,0,0,
2026/3/17,1,表,1,1,1,-,○,-,高平行栄,右,不明,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/3/17,1,表,2,1,1,-,○,-,高平行栄,右,不明,右,ストレート,,5,外角,インプレー,,単打,ライナー,左翼手,0,0,
2026/3/17,1,表,0,0,1,○,-,○,高平行栄,右,不明,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/3/17,1,表,1,0,1,-,○,○,高平行栄,右,不明,左,スライダー,,1,内角,見逃し,,,,,0,0,
2026/3/17,1,表,1,1,1,-,○,○,高平行栄,右,不明,左,フォーク,,7,内角,ファウル,,,,,0,0,
2026/3/17,1,表,1,2,1,-,○,○,高平行栄,右,不明,左,ストレート,,12,内角,ボール,,,,,0,0,
2026/3/17,1,表,2,2,1,-,○,○,高平行栄,右,不明,左,ストレート,,11,,ボール,,,,,0,1,
2026/3/17,1,表,3,2,1,○,-,○,高平行栄,右,不明,左,フォーク,,13,,ボール,四球,,,,0,0,
2026/3/17,1,表,0,0,1,○,-,○,高平行栄,右,不明,右,スライダー,,14,外角,ボール,,,,,0,1,
2026/3/17,1,表,1,0,1,-,○,-,高平行栄,右,不明,右,ストレート,,12,,ボール,,,,,0,0,
2026/3/17,1,表,2,0,1,-,○,-,高平行栄,右,不明,右,ストレート,,3,,インプレー,,単打,ゴロ,中堅手,0,1,
2026/3/17,1,表,0,0,1,○,-,-,高平行栄,右,不明,右,ストレート,,2,,見逃し,,,,,0,0,
2026/3/17,1,表,0,1,1,-,○,-,高平行栄,右,不明,右,カーブ,,9,,ファウル,,,,,0,0,
2026/3/17,1,表,0,2,1,-,○,-,高平行栄,右,不明,右,フォーク,,13,,インプレー,,単打,ゴロ,二塁手,0,0,
2026/3/17,1,表,0,0,1,○,-,○,高平行栄,右,不明,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/3/17,1,表,1,0,1,-,○,○,高平行栄,右,不明,右,スライダー,,3,,見逃し,,,,,0,0,
2026/3/17,1,表,1,1,1,-,○,○,高平行栄,右,不明,右,スライダー,,14,外角,空振り,,,,,0,0,
2026/3/17,1,表,1,2,1,-,○,○,高平行栄,右,不明,右,ストレート,,14,,ボール,,,,,0,0,
2026/3/17,1,表,2,2,1,-,○,○,高平行栄,右,不明,右,カーブ,,14,,インプレー,,犠飛,フライ,中堅手,1,2,
