Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/3/17,1,表,0,0,0,-,-,-,不明,右,石浦吉人,左,ストレート,,5,,ファウル,,,,,0,0,
2026/3/17,1,表,0,1,0,-,-,-,不明,右,石浦吉人,左,カーブ,,11,,ボール,,,,,0,0,
2026/3/17,1,表,1,1,0,-,-,-,不明,右,石浦吉人,左,カーブ,,5,,インプレー,,アウト,フライ,左翼手,1,0,
2026/3/17,1,表,0,0,1,-,-,-,不明,右,竹田龍汰,右,ストレート,,12,,ボール,,,,,0,0,
2026/3/17,1,表,1,0,1,-,-,-,不明,右,竹田龍汰,右,ストレート,,6,,空振り,,,,,0,0,
2026/3/17,1,表,1,1,1,-,-,-,不明,右,竹田龍汰,右,カーブ,,13,,死球,,,,,0,0,
2026/3/17,1,表,0,0,1,○,-,-,不明,右,山本優人,右,,,,外角,ファウル,,,,,0,0,
2026/3/17,1,表,0,0,1,○,-,-,不明,右,山本優人,右,,,,外角,ファウル,,,,,0,0,
2026/3/17,1,表,0,0,1,○,-,-,不明,右,山本優人,右,ストレート,,3,外角,ファウル,,,,,0,0,
2026/3/17,1,表,0,1,1,○,-,-,不明,右,山本優人,右,,,,,ファウル,,,,,0,0,
2026/3/17,1,表,0,2,1,○,-,-,不明,右,山本優人,右,スライダー,,14,,ボール,,,,,0,0,
2026/3/17,1,表,1,2,1,○,-,-,不明,右,山本優人,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/3/17,1,表,2,2,1,○,-,-,不明,右,山本優人,右,カットボール,,9,外角,インプレー,,併殺,ゴロ,投手,2,0,
2026/3/17,1,裏,0,0,0,-,-,-,上野光大郎,右,不明,右,スライダー,,9,外角,インプレー,,エラー,ゴロ,遊撃手,0,0,
2026/3/17,1,裏,0,0,0,○,-,-,上野光大郎,右,不明,右,カーブ,,13,,ボール,,,,,0,0,
2026/3/17,1,裏,1,0,0,-,○,-,上野光大郎,右,不明,右,ストレート,,14,外角,ボール,,,,,0,0,
