イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ,作戦1,作戦2,作戦3
1,表,0,0,0,-,-,-,伴,金沢工業大学,右,櫻井飛源,富山大学,左,,,,,インプレー,1,1,1,1,1,,-,二塁打,ライナー,中堅手,0,0,0,0,,,,
1,表,0,0,0,-,○,-,伴,金沢工業大学,右,中野栞汰,富山大学,左,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,0,1,0,-,○,-,伴,金沢工業大学,右,中野栞汰,富山大学,左,カーブ,,,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,1,1,0,-,○,-,伴,金沢工業大学,右,中野栞汰,富山大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,2,1,0,-,-,○,伴,金沢工業大学,右,中野栞汰,富山大学,左,ストレート,,9,,インプレー,1,1,0,0,1,,-,犠飛,フライ,中堅手,1,1,1,1,,,,
1,表,0,0,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,スライダー,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,1,0,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,ストレート,,14,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,表,1,1,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,ストレート,,3,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,表,1,2,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,2,2,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,ストレート,,8,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,表,2,2,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,3,2,1,-,-,-,伴,金沢工業大学,右,山岸 拓登,富山大学,右,ストレート,,1,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,,,,
1,表,0,0,2,-,-,-,伴,金沢工業大学,右,人見泰成,富山大学,右,スライダー,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,1,0,2,-,-,-,伴,金沢工業大学,右,人見泰成,富山大学,右,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,表,1,1,2,-,-,-,伴,金沢工業大学,右,人見泰成,富山大学,右,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,2,1,2,-,-,-,伴,金沢工業大学,右,人見泰成,富山大学,右,ツーシーム,,5,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,表,2,2,2,-,-,-,伴,金沢工業大学,右,人見泰成,富山大学,右,,,,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,表,3,2,2,-,-,-,伴,金沢工業大学,右,人見泰成,富山大学,右,ストレート,,7,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,,,,
1,裏,0,0,0,-,-,-,山口蒼介,富山大学,右,宮澤 眞,金沢工業大学,左,,,,,インプレー,1,1,1,1,1,,-,単打,ゴロ,三塁手,0,0,0,0,,,,
1,裏,0,0,0,○,-,-,山口蒼介,富山大学,右,樋山 洸聖,金沢工業大学,右,スライダー,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,1,0,0,-,○,-,山口蒼介,富山大学,右,樋山 洸聖,金沢工業大学,右,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,2,0,0,-,-,○,山口蒼介,富山大学,右,樋山 洸聖,金沢工業大学,右,ストレート,,3,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,2,1,0,-,-,○,山口蒼介,富山大学,右,樋山 洸聖,金沢工業大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,3,1,0,-,-,○,山口蒼介,富山大学,右,樋山 洸聖,金沢工業大学,右,ストレート,,14,,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,,,,
1,裏,0,0,0,○,-,○,山口蒼介,富山大学,右,山岸 大真,金沢工業大学,右,スライダー,,14,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,裏,0,1,0,○,-,○,山口蒼介,富山大学,右,山岸 大真,金沢工業大学,右,ストレート,,11,,インプレー,1,1,1,0,1,,-,アウト,フライ,一塁手,1,0,0,0,,,,
1,裏,0,0,1,○,-,○,山口蒼介,富山大学,右,古田 悠真,金沢工業大学,右,スライダー,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,1,0,1,-,○,○,山口蒼介,富山大学,右,古田 悠真,金沢工業大学,右,ストレート,,2,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,裏,1,1,1,-,○,○,山口蒼介,富山大学,右,古田 悠真,金沢工業大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,2,1,1,-,○,○,山口蒼介,富山大学,右,古田 悠真,金沢工業大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,3,1,1,-,○,○,山口蒼介,富山大学,右,古田 悠真,金沢工業大学,右,ストレート,,11,,死球,1,1,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,0,0,1,○,○,○,山口蒼介,富山大学,右,井戸 新太郎,金沢工業大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,1,0,1,○,○,○,山口蒼介,富山大学,右,井戸 新太郎,金沢工業大学,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,2,0,1,○,○,○,山口蒼介,富山大学,右,井戸 新太郎,金沢工業大学,左,ストレート,,13,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,裏,2,1,1,○,○,○,山口蒼介,富山大学,右,井戸 新太郎,金沢工業大学,左,スライダー,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,2,2,1,○,○,○,山口蒼介,富山大学,右,井戸 新太郎,金沢工業大学,左,フォーク,,14,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,,,,
1,裏,0,0,2,○,○,○,山口蒼介,富山大学,右,関口,金沢工業大学,右,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,1,0,2,○,○,○,山口蒼介,富山大学,右,関口,金沢工業大学,右,ストレート,,5,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,裏,1,1,2,○,○,○,山口蒼介,富山大学,右,関口,金沢工業大学,右,フォーク,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,1,0,1,,,,
1,裏,1,2,2,○,○,-,山口蒼介,富山大学,右,関口,金沢工業大学,右,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
1,裏,2,2,2,○,○,-,山口蒼介,富山大学,右,関口,金沢工業大学,右,ストレート,,7,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
1,裏,2,2,2,○,○,-,山口蒼介,富山大学,右,関口,金沢工業大学,右,ストレート,,6,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,,,,
2,表,0,0,0,-,-,-,伴,金沢工業大学,右,小畑,富山大学,右,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,1,0,0,-,-,-,伴,金沢工業大学,右,小畑,富山大学,左,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,2,0,0,-,-,-,伴,金沢工業大学,右,小畑,富山大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,3,0,0,-,-,-,伴,金沢工業大学,右,小畑,富山大学,左,ストレート,,11,,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,,,,
2,表,0,0,0,○,-,-,伴,金沢工業大学,右,桝田宇琉,富山大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,表,1,0,0,○,-,-,伴,金沢工業大学,右,桝田宇琉,富山大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,,,,
